correct as of April 4 2022
Run	PTRIG1	Cur	ChCorr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	BOIL	FADC	Total
6219	469.4	8.3	42.12	0.96	0.994	0.98	0.968	0.9988	0.9956	0.9824	0.9978	0.9765	0.8617
6220	469.5	8.3	36.39	0.96	0.994	0.98	0.968	0.9979	0.9963	0.9822	0.9978	0.9765	0.8612
6221	507.1	17.3	20.69	0.96	0.994	0.98	0.968	0.9970	0.9967	0.9777	0.9955	0.9746	0.8533
6222	506.5	17.3	51.91	0.96	0.994	0.98	0.968	0.9981	0.9966	0.9803	0.9955	0.9747	0.8565
6223	506.1	17.3	59.32	0.96	0.994	0.98	0.968	0.9989	0.9950	0.9811	0.9955	0.9747	0.8565
6224	506.6	17.3	56.87	0.96	0.994	0.98	0.968	0.9976	0.9975	0.9806	0.9955	0.9747	0.8571
6225	505.4	17.3	22.39	0.96	0.994	0.98	0.968	0.9989	0.9952	0.9808	0.9955	0.9747	0.8564
6237	128.5	55.8	79.10	0.96	0.994	0.98	0.968	0.9988	0.9925	0.9860	0.9855	0.9936	0.8664
6240	128.7	55.8	143.64	0.96	0.994	0.98	0.968	0.9981	0.9948	0.9862	0.9855	0.9936	0.8679
6241	128.7	55.8	111.50	0.96	0.994	0.98	0.968	0.9990	0.9951	0.9864	0.9855	0.9936	0.8692
6242	32.5	40.8	78.36	0.96	0.994	0.98	0.968	1.0000	0.9958	0.9971	0.9894	0.9984	0.8879
6243	32.5	40.8	64.16	0.96	0.994	0.98	0.968	0.9990	0.9959	0.9968	0.9894	0.9984	0.8867
6244	32.5	40.8	50.44	0.96	0.994	0.98	0.968	0.9987	0.9950	0.9970	0.9894	0.9984	0.8859
6245	321.5	61.3	81.78	0.96	0.994	0.98	0.968	0.9986	0.9935	0.9777	0.9841	0.9839	0.8501
6246	320.9	61.3	38.42	0.96	0.994	0.98	0.968	0.9990	0.9941	0.9798	0.9841	0.984	0.8529
6247	320.8	61.3	66.30	0.96	0.994	0.98	0.968	0.9985	0.9942	0.9781	0.9841	0.984	0.8511
6248	505.3	55.8	52.89	0.96	0.994	0.98	0.968	0.9987	0.9939	0.9723	0.9855	0.9747	0.8392
6249	506.1	56.3	67.84	0.96	0.994	0.98	0.968	0.9977	0.9947	0.9720	0.9854	0.9747	0.8387
6250	506.0	56.3	77.08	0.96	0.994	0.98	0.968	0.9985	0.9946	0.9714	0.9854	0.9747	0.8387
6251	54.2	40.8	93.64	0.96	0.994	0.98	0.968	0.9976	0.9982	0.9964	0.9894	0.9973	0.8862
6252	54.1	40.8	78.67	0.96	0.994	0.98	0.968	0.9984	0.9984	0.9957	0.9894	0.9973	0.8866
6253	240.0	61.3	119.85	0.96	0.994	0.98	0.968	0.9987	0.9952	0.9844	0.9841	0.988	0.8611
6254	240.3	61.3	113.11	0.96	0.994	0.98	0.968	0.9983	0.9940	0.9815	0.9841	0.988	0.8572
6255	240.0	61.3	122.36	0.96	0.994	0.98	0.968	0.9991	0.9948	0.9825	0.9841	0.988	0.8594
6256	436.4	61.3	93.92	0.96	0.994	0.98	0.968	0.9986	0.9955	0.9781	0.9841	0.9782	0.8473
6257	436.5	61.3	205.80	0.96	0.994	0.98	0.968	0.9989	0.9952	0.9751	0.9841	0.9782	0.8447
